Contestant,Date of Birth,Age,Hometown,Season,Finish,Days Lasted,Votes Against,Tribal Wins,Individual Wins,Total Wins,Ethnicity,Gender
Cirie Fields,"July 18, 1970 (1970-07-18) (age 51)",35,"Walterboro, SC",Panama,4,36,3,6,1,7,African- American,W
Terry Deitz,"October 10, 1959 (1959-10-10) (age 62)",46,"Simsbury, CT",Panama,3,38,1,6,9,15,Caucasian,M
Danielle DiLorenzo,"June 3, 1981 (1981-06-03) (age 40)",24,"Pompano Beach, FL",Panama,2,39,4,6,2,8,Caucasian,W
Aras Baskauskas,"September 26, 1981 (1981-09-26) (age 40)",24,"Santa Monica, CA",Panama,1,39,9,7,3,10,Caucasian,M
Sekou Bunch,"September 9, 1960 (1960-09-09) (age 61)",45,"Los Angeles, CA",Cook Islands,20,3,3,0,N/A,0,African- American,M
Billy Garcia,"April 22, 1970 (1970-04-22) (age 52)",36,"New York City, NY",Cook Islands,19,6,4,1,N/A,1,Latin- American,M
Cecilia Mansilla,"January 13, 1977 (1977-01-13) (age 45)",29,"Oakland, CA",Cook Islands,18,8,5,1,N/A,1,Latin- American,W
J.P. Calderon,"September 5, 1975 (1975-09-05) (age 46)",30,"Long Beach, CA",Cook Islands,17,11,7,2,N/A,2,Latin- American,M
Stephannie Favor,"July 12, 1970 (1970-07-12) (age 51)",35,"Columbia, SC",Cook Islands,16,14,9,3,N/A,3,African- American,W
Cao Boi Bui,"April 10, 1964 (1964-04-10) (age 58)",42,"Christiansburg, VA",Cook Islands,15,15,6,6,N/A,6,Asian- American,M
Cristina Coria,"April 18, 1971 (1971-04-18) (age 51)",35,"Los Angeles, CA",Cook Islands,14,15,5,3,N/A,3,Latin- American,W
Jessica Smith,"January 22, 1979 (1979-01-22) (age 43)",27,"Chico, CA",Cook Islands,13,18,6,7,N/A,7,Caucasian,W
Brad Virata,"November 23, 1976 (1976-11-23) (age 45)",29,"Santa Monica, CA",Cook Islands,12,21,7,5,N/A,5,Asian- American,M
Rebecca Borman,"August 31, 1971 (1971-08-31) (age 50)",34,"Laurelton, NY",Cook Islands,11,24,6,4,N/A,4,African- American,W
Jenny Guzon-Bae,"May 8, 1970 (1970-05-08) (age 51)",36,"Lake Forest, IL",Cook Islands,10,24,6,5,N/A,5,Asian- American,W
Nate Gonzalez,"July 26, 1980 (1980-07-26) (age 41)",25,"Play del Rey, CA",Cook Islands,9,27,5,4,0,4,African-Latin- American,M
Candice Woodcock,"November 12, 1982 (1982-11-12) (age 39)",23,"Washington, DC",Cook Islands,8,30,6,7,0,7,Caucasian,W
Jonathan Penner,"March 5, 1962 (1962-03-05) (age 60)",44,"Los Angeles, CA",Cook Islands,7,33,15,7,0,7,Caucasian,M
Parvati Shallow,"September 21, 1982 (1982-09-21) (age 39)",23,"West Hollywood, CA",Cook Islands,6,36,4,5,2,7,Caucasian,W
Adam Gentry,"August 21, 1978 (1978-08-21) (age 43)",27,"San Diego, CA",Cook Islands,5,37,5,5,1,6,Caucasian,M
Sundra Oakley,"January 2, 1975 (1975-01-02) (age 47)",31,"Los Angeles, CA",Cook Islands,4,38,6,10,0,10,African- American,W
Becky Lee,"September 11, 1977 (1977-09-11) (age 44)",28,"Washington, DC",Cook Islands,2,39,5,11,0,11,Asian- American,W
Ozzy Lusth,"August 23, 1981 (1981-08-23) (age 40)",24,"Venice, CA",Cook Islands,2,39,1,10,6,16,Latin- American,M
Yul Kwon,"February 14, 1975 (1975-02-14) (age 47)",31,"San Mateo, CA",Cook Islands,1,39,5,11,1,12,Asian- American,W
Jessica deBen,"April 25, 1979 (1979-04-25) (age 43)",27,"Los Angeles, CA",Fiji,19,3,6,0,N/A,0,Caucasian,W
Erica Durousseau,"December 11, 1979 (1979-12-11) (age 42)",26,"Baton Rouge, LA",Fiji,18,6,6,0,N/A,0,African- American,W
Sylvia Kwan,"August 18, 1954 (1954-08-18) (age 67)",52,"Ross, CA",Fiji,17,8,6,0,N/A,0,Asian- American,W
Gary Stritesky,"September 16, 1951 (1951-09-16) (age 70)",55,"Ramsey, MN",Fiji,16,10,N/A,5,N/A,5,Caucasian,M
Liliana Gomez,"April 5, 1981 (1981-04-05) (age 41)",25,"Los Angeles, CA",Fiji,15,11,6,6,N/A,6,Latin- American,W
Rita Verreos,"July 19, 1968 (1968-07-19) (age 53)",38,"San Antonio, TX",Fiji,14,14,6,0,N/A,0,Latin- American,W
Anthony Robinson,"June 25, 1974 (1974-06-25) (age 47)",32,"Compton, CA",Fiji,13,16,10,0,N/A,0,African- American,M
Rocky Reid,"September 11, 1978 (1978-09-11) (age 43)",28,"Los Angeles, CA",Fiji,12,19,5,1,N/A,1,Caucasian,M
Lisi Linares,"June 9, 1970 (1970-06-09) (age 51)",36,"Los Angeles, CA",Fiji,11,21,7,9,N/A,9,Latin- American,W
Michelle Yi,"December 2, 1983 (1983-12-02) (age 38)",22,"Cincinnati, OH",Fiji,10,24,3,4,0,4,Asian- American,W
Edgardo Rivera,"October 5, 1978 (1978-10-05) (age 43)",28,"Miami Beach, FL",Fiji,9,27,5,9,1,10,Latin- American,M
Mookie Lee,"November 10, 1981 (1981-11-10) (age 40)",24,"Chicago, IL",Fiji,8,30,6,1,0,1,Asian- American,M
Alex Angarita,"April 20, 1978 (1978-04-20) (age 44)",28,"Los Angeles, CA",Fiji,7,33,9,9,1,10,Latin- American,M
Stacy Kimball,"October 1, 1979 (1979-10-01) (age 42)",27,"Boulder, CO",Fiji,6,36,4,12,3,15,Asian- American,W
Boo Bernis,"June 21, 1972 (1972-06-21) (age 49)",34,"Lafayette, LA",Fiji,5,37,5,12,5,17,Caucasian,M
Yau-Man Chan,"August 26, 1952 (1952-08-26) (age 69)",54,"Martinez, CA",Fiji,4,38,9,4,5,9,Asian- American,M
Cassandra Franklin,"April 19, 1964 (1964-04-19) (age 58)",42,"Los Angeles, CA",Fiji,2,39,5,12,2,14,African- American,W
Dreamz Herd,"December 15, 1981 (1981-12-15) (age 40)",24,"Wilmington, NC",Fiji,2,39,2,9,3,12,African- American,M
Earl Cole,"April 9, 1971 (1971-04-09) (age 51)",35,"Santa Monica, CA",Fiji,1,39,1,4,2,6,African- American,M
Chicken Morris,"September 2, 1959 (1959-09-02) (age 62)",47,"Marion, VA",China,16,3,5,0,N/A,0,Caucasian,M
Ashley Massaro,"May 26, 1979 (age 39)",28,"East Northport, NY",China,15,6,8,0,N/A,0,Caucasian,W
Leslie Nease,"March 25, 1969 (1969-03-25) (age 53)",38,"Tega Cay, SC",China,14,9,6,3,N/A,3,Caucasian,W
Dave Cruser,"October 26, 1969 (1969-10-26) (age 52)",37,"Simi Valley, CA",China,13,12,6,2,N/A,2,Caucasian,M
Aaron Reisberger,"April 25, 1975 (1975-04-25) (age 47)",32,"Venice, CA",China,12,15,3,5,N/A,5,Caucasian,M
Sherea Lloyd,"July 31, 1981 (1981-07-31) (age 40)",25,"Atlanta, GA",China,11,18,6,4,N/A,4,African- American,W
Jaime Dugan,"June 30, 1985 (1985-06-30) (age 36)",21,"Columbia, SC",China,10,21,7,3,0,3,Caucasian,W
Jean-Robert Bellande,"September 17, 1970 (1970-09-17) (age 51)",36,"Las Vegas, NV",China,9,24,12,7,1,8,Caucasian,M
Frosti Zernow,"February 15, 1987 (1987-02-15) (age 35)",20,"Chicago, IL",China,8,27,7,4,2,6,Asian- American,M
James Clement,"March 9, 1977 (1977-03-09) (age 45)",30,"Lafayette, LA",China,7,30,9,6,1,7,African- American,M
Erik Huffman,"January 31, 1981 (1981-01-31) (age 41)",26,"Nashville, TN",China,6,33,5,3,2,5,Caucasian,M
Peih-Gee Law,"April 7, 1978 (1978-04-07) (age 44)",29,"Marina del Rey, CA",China,5,36,8,3,3,6,Asian- American,W
Denise Martin,"May 5, 1967 (1967-05-05) (age 54)",40,"Douglas, MA",China,4,38,3,7,2,9,Caucasian,W
Amanda Kimmel,"August 3, 1984 (1984-08-03) (age 37)",22,"Los Angeles, CA",China,2,39,0,7,5,12,Caucasian,W
Courtney Yates,"March 26, 1981 (1981-03-26) (age 41)",26,"New York City, NY",China,2,39,0,7,2,9,Caucasian,W
Todd Herzog,"January 29, 1985 (1985-01-29) (age 37)",22,"Pleasant Grove, UT",China,1,39,5,7,1,8,Caucasian,M
Jon Dalton,"March 11, 1974 (1974-03-11) (age 48)",33,"Los Angeles, CA",Micronesia,20,3,9,0,0,0,Caucasian,M
Mary Sartain,"November 11, 1978 (1978-11-11) (age 43)",28,"Emeryville, CA",Micronesia,19,6,6,1,0,1,Caucasian,W
Yau-Man Chan,"August 26, 1952 (1952-08-26) (age 69)",55,"Martinez, CA",Micronesia,18,8,6,2,1,3,Asian- American,M
Mikey Bortone,"December 29, 1973 (1973-12-29) (age 48)",33,"Los Angeles, CA",Micronesia,17,11,6,2,0,2,Caucasian,M
Joel Anderson,"June 1, 1975 (1975-06-01) (age 46)",32,"Avondale, AZ",Micronesia,16,14,6,2,0,2,Caucasian,M
Jonathan Penner,"March 5, 1962 (1962-03-05) (age 60)",45,"Los Angeles, CA",Micronesia,15,15,0,7,0,7,Caucasian,M
Chet Welch,"October 22, 1959 (1959-10-22) (age 62)",48,"Ford City, PA",Micronesia,14,17,12,2,0,2,Caucasian,M
Kathy Sleckman,"August 14, 1962 (1962-08-14) (age 59)",45,"Glen Ellyn, IL",Micronesia,13,19,0,6,1,7,Caucasian,W
Tracy Hughes-Wolf,"July 9, 1964 (1964-07-09) (age 57)",43,"Fredericksburg, VA",Micronesia,12,20,7,3,0,3,Caucasian,W
Ami Cusack,"January 25, 1973 (1973-01-25) (age 49)",34,"Golden, CO",Micronesia,11,21,4,5,0,5,Caucasian,W
Eliza Orlins,"December 25, 1982 (1982-12-25) (age 39)",24,"Manhattan, NY",Micronesia,10,24,8,10,0,10,Caucasian,W
Ozzy Lusth,"August 23, 1981 (1981-08-23) (age 40)",26,"Venice, CA",Micronesia,9,27,9,5,1,6,Latin- American,M
Jason Siska,"March 4, 1985 (1985-03-04) (age 37)",22,"Fox River Grove, IL",Micronesia,8,30,8,8,2,10,Caucasian,M
James Clement,"March 9, 1977 (1977-03-09) (age 45)",30,"Lafayette, LA",Micronesia,7,31,3,10,0,10,African- American,M
Alexis Jones,"July 6, 1983 (1983-07-06) (age 38)",24,"Beverly Hills, CA",Micronesia,6,33,2,8,1,9,Caucasian,W
Erik Reichenbach,"November 27, 1985 (1985-11-27) (age 36)",21,"Ypsilanti, MI",Micronesia,5,36,7,3,5,8,Caucasian,M
Natalie Bolton,"December 31, 1975 (1975-12-31) (age 46)",31,"West Hollywood, CA",Micronesia,4,37,3,8,0,8,Asian- American,W
Cirie Fields,"July 18, 1970 (1970-07-18) (age 51)",37,"Norwalk, CT",Micronesia,3,38,3,5,0,5,African- American,W
Amanda Kimmel,"August 3, 1984 (1984-08-03) (age 37)",23,"Los Angeles, CA",Micronesia,2,39,4,5,3,8,Caucasian,W
Parvati Shallow,"September 21, 1982 (1982-09-21) (age 39)",25,"Los Angeles, CA",Micronesia,1,39,4,10,1,11,Caucasian,W
Michelle Chase,"March 7, 1984 (1984-03-07) (age 38)",24,"Los Angeles, CA",Gabon,18,3,8,0,0,0,Caucasian,W
Gillian Larson,"February 24, 1947 (1947-02-24) (age 75)",61,"Temecula, CA",Gabon,17,6,8,0,0,0,Caucasian,W
Paloma Soto-Castillo,"August 24, 1984 (1984-08-24) (age 37)",23,"Downey, CA",Gabon,16,9,7,3,0,3,Latin- American,W
Jacquie Berg,"September 10, 1982 (1982-09-10) (age 39)",25,"Santa Barbara, CA",Gabon,15,12,5,3,0,3,Caucasian,W
GC Brown,"July 13, 1982 (1982-07-13) (age 39)",25,"Portland, OR",Gabon,14,15,6,2,1,3,African- American,M
Kelly Czarnecki,"April 4, 1986 (1986-04-04) (age 36)",22,"Buffalo Grove, IL",Gabon,13,18,8,3,0,3,Caucasian,W
Ace Gordon,"September 3, 1980 (1980-09-03) (age 41)",27,"Naples, FL",Gabon,12,21,5,3,0,3,Caucasian,M
Dan Kay,"June 30, 1976 (age 40)",31,"Boston, MA",Gabon,11,21,4,8,0,8,Caucasian,M
Marcus Lehman,"October 3, 1979 (1979-10-03) (age 42)",28,"Atlanta, GA",Gabon,10,24,3,9,2,11,Latin- American,M
Charlie Herschel,"May 12, 1979 (1979-05-12) (age 42)",29,"New York City, NY",Gabon,9,27,5,11,0,11,Caucasian,M
Randy Bailey,"March 31, 1959 (1959-03-31) (age 63)",49,"Eagle Rock, MO",Gabon,8,30,5,10,0,10,Caucasian,M
Corinne Kaplan,"January 17, 1979 (1979-01-17) (age 43)",29,"Los Angeles, CA",Gabon,7,33,4,11,0,11,Caucasian,W
Crystal Cox,"March 28, 1979 (1979-03-28) (age 43)",29,"Durham, NC",Gabon,6,36,11,2,0,2,African- American,W
Ken Hoang,"October 10, 1985 (1985-10-10) (age 36)",22,"Westminister, CA",Gabon,5,37,7,2,1,3,Asian- American,M
Matty Whitmore,"December 18, 1978 (1978-12-18) (age 43)",29,"Pacific Palisades, CA",Gabon,4,38,7,4,0,4,Caucasian,M
Sugar Kiper,"February 22, 1979 (1979-02-22) (age 43)",29,"Brooklyn, NY",Gabon,2,39,0,5,0,5,Caucasian,W
Susie Smith,"October 24, 1960 (1960-10-24) (age 61)",47,"Charles City, IA",Gabon,2,39,7,8,2,10,Latin- American,W
Bob Crowley,"February 25, 1951 (1951-02-25) (age 71)",57,"Portland, ME",Gabon,1,39,2,9,5,14,Caucasian,M
Carolina Eastwood,"October 27, 1981 (1981-10-27) (age 40)",27,"West Hollywood, CA",Tocantins,16,3,7,0,N/A,0,Latin- American,W
Candace Smith,"February 1, 1977 (1977-02-01) (age 45)",31,"Los Angeles, CA",Tocantins,15,6,7,1,N/A,1,African- American,W
Jerry Sims,"May 18, 1959 (1959-05-18) (age 62)",49,"Rock Hill, SC",Tocantins,14,9,6,1,N/A,1,African- American,M
Sandy Burgin,"July 1, 1955 (1955-07-01) (age 66)",53,"Louisville, KY",Tocantins,13,12,6,4,N/A,4,Caucasian,W
Spencer Duhm,"December 20, 1989 (1989-12-20) (age 32)",18,"Gainesville, FL",Tocantins,12,15,5,5,N/A,5,Caucasian,M
Sydney Wheeler,"May 11, 1984 (1984-05-11) (age 37)",24,"San Diego, CA",Tocantins,11,18,4,5,N/A,5,Caucasian,W
Joe Dowdle,"June 29, 1982 (1982-06-29) (age 39)",26,"Austin, TX",Tocantins,10,20,1,5,0,5,Caucasian,M
Brendan Synnott,"September 28, 1978 (1978-09-28) (age 43)",30,"Vail, CO",Tocantins,9,24,4,5,1,6,Caucasian,M
Tyson Apostol,"June 17, 1979 (1979-06-17) (age 42)",29,"Heber City, UT",Tocantins,8,27,5,5,3,8,Caucasian,M
Sierra Reed,"September 29, 1985 (1985-09-29) (age 36)",23,"Los Angeles, CA",Tocantins,7,30,11,5,0,5,Caucasian,W
Debbie Beebe,"September 28, 1962 (1962-09-28) (age 59)",46,"Auburn, AL",Tocantins,6,33,6,5,3,8,Caucasian,W
Coach Wade,"September 18, 1971 (1971-09-18) (age 50)",37,"Bolivar, MO",Tocantins,5,36,6,5,1,6,Caucasian,M
Taj Johnson-George,"April 29, 1971 (1971-04-29) (age 50)",37,"Nashville, TN",Tocantins,4,37,7,5,0,5,African- American,W
Erinn Lobdell,"October 21, 1982 (1982-10-21) (age 39)",26,"Milwaukee, WI",Tocantins,3,38,5,5,1,6,Caucasian,W
Stephen Fishbach,"January 24, 1979 (1979-01-24) (age 43)",29,"New York City, NY",Tocantins,2,39,1,5,2,7,Caucasian,M
J.T. Thomas,"June 23, 1984 (1984-06-23) (age 37)",24,"Mobile, AL",Tocantins,1,39,0,5,6,11,Caucasian,M
Marisa Calihan,"July 26, 1983 (1983-07-26) (age 38)",25,"Cincinnati, OH",Samoa,20,3,7,1,N/A,1,Caucasian,W
Mike Borassi,"March 13, 1947 (1947-03-13) (age 75)",62,"Marina del Rey, CA",Samoa,19,5,0,1,N/A,1,Caucasian,M
Betsy Bolan,"March 20, 1961 (1961-03-20) (age 61)",48,"Campton, NH",Samoa,18,6,7,1,N/A,1,Caucasian,W
Ben Browning,"August 28, 1980 (1980-08-28) (age 41)",28,"Los Angeles, CA",Samoa,17,8,7,1,N/A,1,Caucasian,M
Yasmin Giles,"August 29, 1975 (1975-08-29) (age 46)",33,"Los Angeles, CA",Samoa,16,11,8,4,N/A,4,African- American,W
Ashley Trainer,"February 27, 1987 (1987-02-27) (age 35)",22,"Maple Grove, MN",Samoa,15,14,9,2,N/A,2,Caucasian,W
Russell Swan,"February 17, 1967 (1967-02-17) (age 55)",42,"Glenside, PA",Samoa,14,15,0,6,N/A,6,African- American,M
Liz Kim,"November 24, 1975 (1975-11-24) (age 46)",33,"New York City, NY",Samoa,13,18,5,2,N/A,2,Asian- American,W
Erik Cardona,"April 13, 1981 (1981-04-13) (age 41)",28,"Los Angeles, CA",Samoa,12,21,10,8,0,8,Latin- American,M
Kelly Sharbaugh,"December 26, 1983 (1983-12-26) (age 38)",25,"San Diego, CA",Samoa,11,24,4,8,1,9,Caucasian,W
Laura Morett,"July 30, 1969 (1969-07-30) (age 52)",39,"Salem, OR",Samoa,10,27,10,8,3,11,Caucasian,W
John Fincher,"August 16, 1983 (1983-08-16) (age 38)",25,"Santa Monica, CA",Samoa,9,30,7,8,2,10,Latin- American,M
Dave Ball,"August 13, 1970 (1970-08-13) (age 51)",38,"Los Angeles, CA",Samoa,8,31,8,8,2,10,Caucasian,M
Monica Padilla,"July 14, 1984 (1984-07-14) (age 37)",24,"San Diego, CA",Samoa,7,33,7,8,1,9,Latin- American,W
Shambo Waters,"April 25, 1964 (1964-04-25) (age 58)",45,"Renton, WA",Samoa,6,36,6,8,2,10,Caucasian,W
Jaison Robinson,"September 25, 1980 (1980-09-25) (age 41)",28,"Chicago, IL",Samoa,5,37,7,2,3,5,African- American,M
Brett Clouser,"December 27, 1985 (1985-12-27) (age 36)",23,"Los Angeles, CA",Samoa,4,38,3,8,4,12,Caucasian,M
Mick Trimming,"May 10, 1976 (1976-05-10) (age 45)",33,"Los Angeles, CA",Samoa,2,39,4,2,1,3,Caucasian,M
Russell Hantz,"October 10, 1972 (1972-10-10) (age 49)",36,"Dayton, TX",Samoa,2,39,9,2,3,5,Caucasian,M
Natalie White,"April 22, 1983 (1983-04-22) (age 39)",26,"Van Buren, AR",Samoa,1,39,8,2,1,3,Caucasian,W
Sugar Kiper,"February 22, 1979 (1979-02-22) (age 43)",30,"Los Angeles, CA",Heroes vs. Villains,20,3,9,1,N/A,1,Caucasian,W
Stephenie LaGrossa,"December 6, 1979 (1979-12-06) (age 42)",29,"Philadelphia, PA",Heroes vs. Villains,19,6,6,1,N/A,1,Caucasian,W
Randy Bailey,"March 31, 1959 (1959-03-31) (age 63)",50,"Austin, TX",Heroes vs. Villains,18,8,9,2,N/A,2,Caucasian,M
Cirie Fields,"July 18, 1970 (1970-07-18) (age 51)",39,"Norwalk, CT",Heroes vs. Villains,17,11,3,2,N/A,2,African- American,W
Tom Westman,"January 4, 1964 (1964-01-04) (age 58)",45,"New York City, NY",Heroes vs. Villains,16,14,8,2,N/A,2,Caucasian,M
Tyson Apostol,"June 17, 1979 (1979-06-17) (age 42)",30,"Lindon, UT",Heroes vs. Villains,15,15,3,7,0,7,Caucasian,M
James Clement,"March 9, 1977 (1977-03-09) (age 45)",32,"Lafayette, LA",Heroes vs. Villains,14,15,7,2,0,2,African- American,M
Rob Mariano,"December 25, 1975 (1975-12-25) (age 46)",33,"Pensacola, FL",Heroes vs. Villains,13,18,5,7,1,8,Caucasian,M
Coach Wade,"September 18, 1971 (1971-09-18) (age 50)",37,"Susanville, CA",Heroes vs. Villains,12,21,4,7,0,7,Caucasian,M
Courtney Yates,"March 26, 1981 (1981-03-26) (age 41)",28,"New York City, NY",Heroes vs. Villains,11,24,9,8,0,8,Caucasian,W
J.T. Thomas,"June 23, 1984 (1984-06-23) (age 37)",25,"Mobile, AL",Heroes vs. Villains,10,27,5,7,0,7,Caucasian,M
Amanda Kimmel,"August 3, 1984 (1984-08-03) (age 37)",25,"Los Angeles, CA",Heroes vs. Villains,9,30,10,7,1,8,Caucasian,W
Candice Woodcock,"November 12, 1982 (1982-11-12) (age 39)",26,"Washington, DC",Heroes vs. Villains,8,31,5,7,1,8,Caucasian,W
Danielle DiLorenzo,"June 3, 1981 (1981-06-03) (age 40)",28,"Los Angeles, CA",Heroes vs. Villains,7,33,4,8,2,10,Caucasian,W
Rupert Boneham,"January 27, 1964 (1964-01-27) (age 58)",45,"Indianapolis, IN",Heroes vs. Villains,6,36,10,7,0,7,Caucasian,M
Colby Donaldson,"April 1, 1974 (1974-04-01) (age 48)",35,"Dallas, TX",Heroes vs. Villains,5,37,7,7,1,8,Caucasian,M
Jerri Manthey,"September 5, 1970 (1970-09-05) (age 51)",38,"Los Angeles, CA",Heroes vs. Villains,4,38,9,8,2,10,Caucasian,W
Russell Hantz,"October 10, 1972 (1972-10-10) (age 49)",36,"Dayton, TX",Heroes vs. Villains,2,39,5,8,2,10,Caucasian,M
Parvati Shallow,"September 21, 1982 (1982-09-21) (age 39)",26,"Los Angeles, CA",Heroes vs. Villains,2,39,8,8,3,11,Caucasian,W
Sandra Diaz-Twine,"July 30, 1974 (1974-07-30) (age 47)",35,"Fayatteville, NC",Heroes vs. Villains,1,39,3,8,0,8,Latin- American,W
Wendy DeSmidt-Kohlhoff,"December 13, 1961 (1961-12-13) (age 60)",48,"Fromberg, MT",Nicaragua,20,3,9,0,N/A,0,Caucasian,W
Shannon Elkins,"December 4, 1979 (1979-12-04) (age 42)",30,"Lafayette, LA",Nicaragua,19,6,7,2,N/A,2,Caucasian,M
Jimmy Johnson,"July 16, 1943 (1943-07-16) (age 78)",66,"Islamorada, FL",Nicaragua,18,8,8,1,N/A,1,Caucasian,M
Jimmy Tarantino,"September 7, 1962 (1962-09-07) (age 59)",47,"Gloucester, MA",Nicaragua,17,11,5,1,N/A,1,Caucasian,M
Tyrone Davis,"September 24, 1967 (1967-09-24) (age 54)",42,"Inglewood, CA",Nicaragua,16,14,6,2,N/A,2,African- American,M
Kelly Bruno,"March 23, 1984 (1984-03-23) (age 38)",26,"Durham, NC",Nicaragua,15,15,8,6,0,6,Caucasian,W
Yve Rojas,"March 9, 1969 (1969-03-09) (age 53)",41,"Kansas City, MO",Nicaragua,14,15,7,2,0,2,Latin- American,W
Jill Behm,"January 18, 1967 (1967-01-18) (age 55)",43,"Erie, PA",Nicaragua,13,18,3,3,1,4,Caucasian,M
Alina Wilson,"February 20, 1987 (1987-02-20) (age 35)",23,"Downey, CA",Nicaragua,12,22,10,7,0,7,Caucasian,W
Marty Piombo,"November 11, 1961 (1961-11-11) (age 60)",48,"Mill Valley, CA",Nicaragua,11,24,15,3,1,4,Caucasian,M
Brenda Lowe,"November 3, 1982 (1982-11-03) (age 39)",27,"Miami, FL",Nicaragua,10,27,13,6,1,7,Asian-Latin- American,W
NaOnka Mixon,"February 17, 1983 (1983-02-17) (age 39)",27,"Los Angeles, CA",Nicaragua,9,28,3,7,2,9,African- American,W
Kelly Shinn,"May 5, 1990 (1990-05-05) (age 31)",20,"Mesa, AZ",Nicaragua,8,28,0,6,1,7,Caucasian,W
Benry Henry,"June 25, 1986 (1986-06-25) (age 35)",23,"Los Angeles, CA",Nicaragua,7,32,5,7,2,9,Caucasian,M
Jane Bright,"December 13, 1953 (1953-12-13) (age 68)",56,"Jackson Springs, NC",Nicaragua,6,36,11,3,3,6,Caucasian,W
Dan Lembo,"November 5, 1946 (1946-11-05) (age 75)",63,"Watermill, NY",Nicaragua,5,37,9,4,2,6,Caucasian,M
Holly Hoffman,"March 15, 1966 (1966-03-15) (age 56)",44,"Eureka, SD",Nicaragua,4,38,4,4,2,6,Caucasian,W
Sash Lenahan,"November 22, 1979 (1979-11-22) (age 42)",30,"New York City, NY",Nicaragua,2,39,2,6,2,8,African- American,M
Chase Rice,"September 19, 1985 (1985-09-19) (age 36)",24,"Fairview, NC",Nicaragua,2,39,1,7,4,11,Caucasian,M
Fabio Birza,"June 12, 1989 (1989-06-12) (age 32)",21,"Venice, CA",Nicaragua,1,39,2,6,6,12,Caucasian,M
Francesca Hogi,"November 3, 1973 (1973-11-03) (age 48)",36,"Washington, DC",Redemption Island,18,6,4,0,0,0,African- American,W
Russell Hantz,"October 10, 1972 (1972-10-10) (age 49)",37,"Dayton, TX",Redemption Island,17,10,8,2,0,2,Caucasian,M
Kristina Kell,"December 26, 1964 (1964-12-26) (age 57)",45,"Malibu, CA",Redemption Island,16,12,9,1,0,1,Caucasian,W
Krista Klumpp,"July 27, 1985 (1985-07-27) (age 36)",25,"Columbia, SC",Redemption Island,15,14,6,3,0,3,Caucasian,W
Stephanie Valencia,"February 3, 1985 (1985-02-03) (age 37)",25,"Long Beach, CA",Redemption Island,14,17,8,3,0,3,Latin- American,W
Sarita White,"October 2, 1974 (1974-10-02) (age 47)",35,"Santa Monica, CA",Redemption Island,13,19,6,3,0,3,Caucasian,W
David Murphy,"July 16, 1979 (1979-07-16) (age 42)",31,"West Hollywood, CA",Redemption Island,12,25,8,3,0,3,Caucasian,M
Julie Wolfe,"May 11, 1960 (1960-05-11) (age 61)",50,"Oceanside, CA",Redemption Island,11,28,6,3,0,3,Caucasian,W
Steve Wright,"April 8, 1959 (1959-04-08) (age 63)",51,"Huntington Beach, CA",Redemption Island,10,31,9,3,0,3,Caucasian,M
Ralph Kiser,"October 27, 1965 (age 56)",44,"Lebanon, VA",Redemption Island,9,33,10,3,1,4,Caucasian,M
Grant Mattos,"March 12, 1981 (1981-03-12) (age 41)",29,"West Hollywood, CA",Redemption Island,8,36,10,4,2,6,Caucasian,M
Matt Elrod,"October 2, 1988 (1988-10-02) (age 33)",21,"Nashville, TN",Redemption Island,7,36,10,0,10,10,Caucasian,M
Mike Chiesl,"September 15, 1979 (1979-09-15) (age 42)",30,"Del Mar, CA",Redemption Island,6,36,6,3,4,7,Caucasian,M
Andrea Boehlke,"May 10, 1989 (1989-05-10) (age 32)",21,"Random Lake, WI",Redemption Island,5,37,9,4,3,7,Caucasian,W
Ashley Underwood,"February 8, 1985 (1985-02-08) (age 37)",25,"Benton, ME",Redemption Island,4,38,3,4,2,6,Caucasian,W
Natalie Tenerelli,"May 6, 1991 (1991-05-06) (age 30)",19,"Acton, CA",Redemption Island,2,39,1,4,1,5,Caucasian,M
Phillip Sheppard,"March 12, 1958 (1958-03-12) (age 64)",52,"Santa Monica, CA",Redemption Island,2,39,17,4,0,4,African- American,M
Rob Mariano,"December 25, 1975 (1975-12-25) (age 46)",34,"Pensacola, FL",Redemption Island,1,39,7,4,4,8,Caucasian,M
Semhar Tadesse,"September 12, 1986 (1986-09-12) (age 35)",24,"Los Angeles, CA",South Pacific,18,6,8,1,0,1,African- American,W
Mark Caruso,"July 7, 1963 (1963-07-07) (age 58)",47,"Forest Hills, NY",South Pacific,17,9,6,2,0,2,Caucasian,M
Stacey Powell,"November 21, 1967 (1967-11-21) (age 54)",43,"Grand Prairie, TX",South Pacific,16,12,10,2,0,2,African- American,W
Elyse Umemoto,"May 10, 1984 (1984-05-10) (age 37)",27,"Las Vegas, NV",South Pacific,15,15,3,3,0,3,Asian-Latin- American,W
Mikayla Wingle,"May 31, 1989 (1989-05-31) (age 32)",21,"Tampa, FL",South Pacific,14,17,4,3,0,3,Caucasian,W
Christine Shields Markoski,"June 17, 1971 (1971-06-17) (age 50)",39,"Merrick, NY",South Pacific,13,19,4,1,5,6,Latin- American,W
Jim Rice,"September 14, 1975 (1975-09-14) (age 46)",35,"Denver, CO",South Pacific,12,25,8,4,1,5,Caucasian,M
Keith Tollefson,"October 1, 1985 (1985-10-01) (age 36)",25,"Edina, MN",South Pacific,11,25,12,4,0,4,Caucasian,M
